COURSE_ID;HIPPODROME_ID;DATE;REUNION;DISCIPLINE;PISTE_COURSE;TYPE_COURSE;DISTANCE;NOMBRE_PARTANT_COURSE;ALLOCATION_TOTAL_COURSE;CORDE;ETAT_TERRAIN;PENETROMETRIE;VENT_COURSE;TEMPERATURE_COURSE;CHRONO_COURSE;PLACE_CHEVAL;NUMERO_CHEVAL;CHEVAL_ID;JOCKEY_ID;ENTRAINEUR_ID;SEXE_CHEVAL;AGE_CHEVAL;STALLE_CHEVAL;VALEUR_HANDICAP_CHEVAL;POIDS_CHEVAL;MUSIQUE_CHEVAL;COTE_CHEVAL;GAINS_TOTAL_CHEVAL;GAIN_TOTAL_VICTOIRE_CHEVAL;GAIN_TOTAL_ANNEE_CHEVAL;NOMBRE_COURSE_TOTAL_CHEVAL;POURCENTAGE_GAIN_VICTOIRE_TOTAL_CHEVAL;POURCENTAGE_GAIN_ANNEE_CHEVAL;NOMBRE_VICTOIRE_TOTAL_CHEVAL;POURCENTAGE_VICTOIRE_CHEVAL;NOMBRE_PLACE_TOTAL_CHEVAL;POURCENTAGE_PLACE_TOTAL_CHEVAL;AUTRE_PLACE_TOTAL_CHEVAL;POURCENTAGE_AUTRE_TOTAL_CHEVAL
5;7;20250829;R4;P;HE;CH;1600;15;14400;D;TS;3.8;30;21.0;106.13;1;3;SOLAIRE;JOSE DIOGO LOPES DUARTE;D. DA COSTA PEDROSA;F;5;12;21.5;56.5;2p2p2p6p1p0p4p8p0p;3.2;72453;15500;13172;42;0.21;0.18;3;0.07;6;0.14;33;0.79
5;7;20250829;R4;P;HE;CH;1600;15;14400;D;TS;3.8;30;21.0;106.13;2;11;ADELA;ROMAIN DUBORD;F. CELLIER;F;5;15;18.0;54.5;0p4p(24)0p0p4p3p6p9p6p;36.0;26327;10000;1152;25;0.38;0.04;1;0.04;3;0.12;21;0.84
5;7;20250829;R4;P;HE;CH;1600;15;14400;D;TS;3.8;30;21.0;106.13;3;12;BLACK PANTHER;MAXIMILIEN JUSTUM;B. LEGROS (S);F;7;9;16.5;53.0;5p3p3p6p5p5p9p7p1p0p;8.9;80703;43000;9468;77;0.53;0.12;6;0.08;11;0.14;60;0.78
5;7;20250829;R4;P;HE;CH;1600;15;14400;D;TS;3.8;30;21.0;106.13;4;14;DO IT FOR ME;BRUNO AUGUSTO PAIVA LOPES;A. MACEDO DA SILVA;F;4;11;16.0;52.0;7p8p0p6p(24)0p5p2p0p0p;107.0;19150;9500;0;31;0.50;0.00;1;0.03;2;0.06;28;0.90
5;7;20250829;R4;P;HE;CH;1600;15;14400;D;TS;3.8;30;21.0;106.13;5;9;GOOD'ID;HUGO MOUESAN;R. AVIAL LOPEZ;F;5;10;19.0;55.5;2p8p5p8p(24)6pAp0p6p3p;15.0;13726;0;3376;22;0.00;0.25;0;0.00;5;0.23;17;0.77
5;7;20250829;R4;P;HE;CH;1600;15;14400;D;TS;3.8;30;21.0;106.13;6;7;KHAMALGANE;MME ANAELLE MEKOUCHE;JA. FERREIRA DE OLIVEIRA;F;5;14;20.0;55.0;1p0p6p7p3p2p2p4p3p;23.0;14273;4350;5418;32;0.30;0.38;3;0.09;13;0.41;16;0.50
5;7;20250829;R4;P;HE;CH;1600;15;14400;D;TS;3.8;30;21.0;106.13;7;1;ZOKOA;CLEMENT CADEL;F. SANCHEZ;H;5;5;23.5;60.0;6p0p4p8p0p0p0p3p0p6p;11.0;40782;28500;4722;39;0.70;0.12;3;0.08;2;0.05;34;0.87
5;7;20250829;R4;P;HE;CH;1600;15;14400;D;TS;3.8;30;21.0;106.13;8;2;BLOOD DIAMOND;MAEL LE CALLONEC;M. ALONSO ROLDAN;F;4;2;23.0;58.0;0p7p8p0p8p7p8p0p0p;33.0;27376;13500;726;24;0.49;0.03;1;0.04;1;0.04;22;0.92
5;7;20250829;R4;P;HE;CH;1600;15;14400;D;TS;3.8;30;21.0;106.13;9;13;ZASTER FOR ALL;JAIME GELABERT BAUTISTA;J. CALDERON ROMERO;F;7;13;16.0;53.0;7p2p7p3p2p6p0p0p(24)4p;12.0;32404;5500;8704;32;0.17;0.27;1;0.03;7;0.22;24;0.75
5;7;20250829;R4;P;HE;CH;1600;15;14400;D;TS;3.8;30;21.0;106.13;10;4;BALEGRIO;GUILLAUME GUEDJ-GAY;MME N. GARDE DUBORD;H;7;4;20.5;57.0;8p1p4p8p3p4p5p0p9p7p;9.9;74470;17150;6625;53;0.23;0.09;3;0.06;16;0.30;34;0.64
