Cheval;Âge;Sexe;Race;Courses;Victoires;Places;Allocation tot.;Prime Prop.;Alloc. + Prime Prop.;Gain moyen;Valeur
LOUISDOR D'ALENE;4;H;CHEVAL AUTRE QUE PUR SANG;1;0;1;1650,00;0,00;1650,00;1650,00;
LITTORAL;4;H;CHEVAL AUTRE QUE PUR SANG;1;0;1;1650,00;0,00;1650,00;1650,00;
CHAMBERI;4;H;PUR SANG;3;0;1;1650,00;742,00;2392,00;550,00;275.0
NABA QUEEN;3;F;PUR SANG;2;0;1;1650,00;1237,00;2887,00;825,00;
CITY OF ANGELS;2;F;PUR SANG;5;0;3;1650,00;1237,00;2887,00;330,00;300.0
BLARNEY;3;H;PUR SANG;3;0;1;1650,00;0,00;1650,00;550,00;310.0
KING THISTLE;3;H;PUR SANG;1;0;1;1650,00;0,00;1650,00;1650,00;
CURARO LIGHT;6;F;PUR SANG;2;0;2;1644,00;739,00;2383,00;822,00;290.0
BUDDY CHOP;8;H;PUR SANG;5;0;2;1640,00;738,00;2378,00;328,00;515.0
WRONG COLOUR;5;F;PUR SANG;7;0;3;1639,00;737,00;2376,00;234,14;195.0
PARK OF DIAMOND;8;H;PUR SANG;5;0;2;1630,00;733,00;2363,00;326,00;180.0
ASTON JUAN;3;M;PUR SANG;7;0;2;1622,00;1216,00;2838,00;231,71;260.0
HARMATTAN;5;H;PUR SANG;3;0;2;1620,00;729,00;2349,00;540,00;245.0
SUPERCLASS;3;H;PUR SANG;3;0;1;1620,00;0,00;1620,00;540,00;255.0
SCHUMAN;3;M;PUR SANG;2;0;1;1616,00;1212,00;2828,00;808,00;330.0
ANDANOTHERGLORY;3;F;PUR SANG;5;0;1;1616,00;1212,00;2828,00;323,20;270.0
RICHAUNERADOXE;7;M;PUR SANG;6;0;3;1610,00;724,00;2334,00;268,33;440.0
LITTLE FROG;2;F;PUR SANG;4;0;2;1604,00;1203,00;2807,00;401,00;295.0
MOUTARDE;6;H;PUR SANG;5;0;1;1600,00;720,00;2320,00;320,00;300.0
BLOODY SUNDAE;5;H;PUR SANG;2;0;1;1600,00;720,00;2320,00;800,00;300.0
NORTH KING;4;H;PUR SANG;2;0;1;1600,00;0,00;1600,00;800,00;
SABROZURA;4;H;PUR SANG;5;0;2;1600,00;720,00;2320,00;320,00;240.0
WOOD PRINCE;4;H;PUR SANG;6;0;1;1600,00;720,00;2320,00;266,67;240.0
MENWAAL AL SHAHANIA;4;F;ARABE;2;0;1;1600,00;720,00;2320,00;800,00;435.0
ALMAGUER;4;M;PUR SANG;2;0;1;1600,00;720,00;2320,00;800,00;370.0
LOYAL HODELA;4;H;PUR SANG;2;0;1;1600,00;0,00;1600,00;800,00;
BANBAN;4;H;PUR SANG;1;0;1;1600,00;0,00;1600,00;1600,00;
FUSEE DE PORCHE;3;M;PUR SANG;4;0;1;1600,00;1200,00;2800,00;400,00;295.0
BOROUGHA;3;F;PUR SANG;1;0;1;1600,00;0,00;1600,00;1600,00;
LANAMAYA;3;F;PUR SANG;4;0;1;1600,00;1200,00;2800,00;400,00;300.0
MASCAPONE;5;H;PUR SANG;4;0;1;1600,00;0,00;1600,00;400,00;320.0
QUANTUM MECHANICS;4;M;PUR SANG;2;0;1;1600,00;0,00;1600,00;800,00;290.0
KING PATH;4;H;PUR SANG;6;0;1;1600,00;0,00;1600,00;266,67;320.0
KINNIGOLI KID;4;H;PUR SANG;4;0;1;1600,00;0,00;1600,00;400,00;295.0
BID FOR CHESTER;4;H;PUR SANG;5;0;1;1600,00;0,00;1600,00;320,00;335.0
AJAXANIA;2;F;PUR SANG;1;0;1;1596,00;0,00;1596,00;1596,00;
ISIWOOD;4;H;PUR SANG;6;0;3;1595,00;717,00;2312,00;265,83;210.0
ST ELVIRA;4;F;PUR SANG;3;0;1;1590,00;715,00;2305,00;530,00;345.0
OFTENWORK;8;H;PUR SANG;5;0;3;1580,00;711,00;2291,00;316,00;615.0
CHECKPOINT CHARLIE;10;H;PUR SANG;3;0;2;1580,00;0,00;1580,00;526,67;190.0
MARANADO;6;H;PUR SANG;8;0;2;1575,00;708,00;2283,00;196,88;185.0
KALONE DE RETZ;5;H;CHEVAL AUTRE QUE PUR SANG;1;0;1;1575,00;0,00;1575,00;1575,00;
KIM DU LEMO;5;H;CHEVAL AUTRE QUE PUR SANG;2;0;1;1575,00;0,00;1575,00;787,50;540.0
KITSCH;5;F;CHEVAL AUTRE QUE PUR SANG;2;0;2;1575,00;0,00;1575,00;787,50;
LE REBELLE;4;H;CHEVAL AUTRE QUE PUR SANG;1;0;1;1575,00;0,00;1575,00;1575,00;
LE ROI KLASS;4;H;PUR SANG;2;0;2;1575,00;0,00;1575,00;787,50;
LOUSTIC DE GRISSAY;4;H;CHEVAL AUTRE QUE PUR SANG;4;0;1;1575,00;0,00;1575,00;393,75;
LOMBO SACRE;4;H;CHEVAL AUTRE QUE PUR SANG;1;0;1;1575,00;0,00;1575,00;1575,00;
LIKE A SECRET;4;H;CHEVAL AUTRE QUE PUR SANG;1;0;1;1575,00;0,00;1575,00;1575,00;
L'UNE BRUNE;4;F;CHEVAL AUTRE QUE PUR SANG;2;0;1;1575,00;0,00;1575,00;787,50;
LIMONCELLO MARSAL;4;H;CHEVAL AUTRE QUE PUR SANG;2;0;1;1575,00;0,00;1575,00;787,50;
MEDICIS SUN;3;F;CHEVAL AUTRE QUE PUR SANG;1;0;1;1575,00;0,00;1575,00;1575,00;
LORETTEDESOUCHEZ;3;F;PUR SANG;3;0;2;1575,00;337,00;1912,00;525,00;230.0
BARBAGGIO;5;H;PUR SANG;3;0;2;1575,00;0,00;1575,00;525,00;190.0
WALD PRINCE;4;H;PUR SANG;5;0;2;1572,00;707,00;2279,00;314,40;275.0
