Cheval;Âge;Sexe;Race;Courses;Victoires;Places;Allocation tot.;Prime Prop.;Alloc. + Prime Prop.;Gain moyen;Valeur
CAMILLE PISSARRO;3;M;PUR SANG;2;1;1;931395,00;0,00;931395,00;465697,50;525.0
GEZORA;3;F;PUR SANG;3;2;1;657500,00;253137,00;910637,00;219166,67;510.0
DIEGO VELAZQUEZ;4;M;PUR SANG;1;1;0;571400,00;0,00;571400,00;571400,00;535.0
CUALIFICAR;3;M;PUR SANG;5;3;2;455615,00;0,00;455615,00;91123,00;520.0
LEFFARD;3;M;PUR SANG;5;3;1;376340,00;93693,00;470033,00;75268,00;525.0
HENRI MATISSE;3;M;PUR SANG;1;1;0;371410,00;0,00;371410,00;371410,00;535.0
WOODSHAUNA;3;M;PUR SANG;6;3;3;358494,00;119273,00;477767,00;59749,00;525.0
ZARIGANA;3;F;PUR SANG;2;2;0;354270,00;133709,00;487979,00;177135,00;510.0
SOSIE;4;M;PUR SANG;2;2;0;314270,00;103708,00;417978,00;157135,00;550.0
CANDELARI;4;H;PUR SANG;4;3;1;273060,00;95449,00;368509,00;68265,00;535.0
SAJIR;4;M;PUR SANG;3;2;1;266132,00;0,00;266132,00;88710,67;545.0
QUISISANA;5;F;PUR SANG;3;3;0;264010,00;61664,00;325674,00;88003,33;525.0
BEDTIME STORY;3;F;PUR SANG;3;0;2;240040,00;0,00;240040,00;80013,33;505.0
NOTABLE SPEECH;4;M;PUR SANG;1;0;1;228600,00;0,00;228600,00;228600,00;530.0
CALANDAGAN;4;H;PUR SANG;1;1;0;228560,00;0,00;228560,00;228560,00;575.0
TRINITY COLLEGE;3;M;PUR SANG;2;0;2;222810,00;0,00;222810,00;111405,00;520.0
AVENTURE;4;F;PUR SANG;3;2;1;205540,00;81520,00;287060,00;68513,33;535.0
CANKOURA;3;F;PUR SANG;6;3;2;201400,00;103044,00;304444,00;33566,67;500.0
VENETIAN SUN;2;F;PUR SANG;1;1;0;199990,00;0,00;199990,00;199990,00;485.0
LUWSAIL;5;M;ARABE;2;1;1;185000,00;16500,00;201500,00;92500,00;560.0
MAP OF STARS;4;M;PUR SANG;3;2;1;182680,00;73976,00;256656,00;60893,33;540.0
MARANOA CHARLIE;3;M;PUR SANG;4;2;2;179440,00;84288,00;263728,00;44860,00;520.0
DETAIN;3;M;PUR SANG;2;0;1;171450,00;0,00;171450,00;85725,00;500.0
FALLEN ANGEL;4;F;PUR SANG;1;1;0;171420,00;0,00;171420,00;171420,00;505.0
YELLOW JERSEY;3;H;PUR SANG;3;3;0;168650,00;28987,00;197637,00;56216,67;495.0
ARROW EAGLE;4;M;PUR SANG;4;4;0;162100,00;72945,00;235045,00;40525,00;500.0
MANDANABA;3;F;PUR SANG;4;1;2;159965,00;69588,00;229553,00;39991,25;505.0
JONQUIL;3;M;PUR SANG;1;0;1;148590,00;0,00;148590,00;148590,00;510.0
SHES PERFECT;3;F;PUR SANG;3;0;2;141730,00;0,00;141730,00;47243,33;510.0
SEVENNA'S KNIGHT;5;M;PUR SANG;5;0;5;140822,00;0,00;140822,00;28164,40;515.0
CAPE ORATOR;2;M;PUR SANG;1;1;0;130000,00;0,00;130000,00;130000,00;
DARYZ;3;M;PUR SANG;4;4;0;129100,00;96825,00;225925,00;32275,00;505.0
LAZZAT;4;H;PUR SANG;3;1;2;127068,00;35463,00;162531,00;42356,00;545.0
SIBAYAN;4;H;PUR SANG;4;2;2;125930,00;56668,00;182598,00;31482,50;500.0
DOUBLE MAJOR;5;H;PUR SANG;4;1;3;125357,00;55036,00;180393,00;31339,25;505.0
GODSPEED;3;F;PUR SANG;6;2;3;120930,00;81276,00;202206,00;20155,00;495.0
SURVIE;4;F;PUR SANG;2;0;2;120040,00;31158,00;151198,00;60020,00;505.0
DANCING GEMINI;4;M;PUR SANG;1;0;1;114300,00;0,00;114300,00;114300,00;535.0
SUNLY;3;F;PUR SANG;4;3;1;107180,00;0,00;107180,00;26795,00;465.0
UTHER;3;M;PUR SANG;5;1;4;104580,00;59592,00;164172,00;20916,00;505.0
ALOHI ALII;3;M;PUR SANG;1;1;0;104310,00;0,00;104310,00;104310,00;500.0
MY HIGHNESS;2;F;PUR SANG;4;3;1;104080,00;0,00;104080,00;26020,00;490.0
GOOD GIFT;6;H;PUR SANG;10;2;7;102620,00;46179,00;148799,00;10262,00;475.0
PRESAGE NOCTURNE;5;M;PUR SANG;3;1;2;100122,00;39567,00;139689,00;33374,00;515.0
SILIUS;3;M;PUR SANG;7;3;3;98480,00;73860,00;172340,00;14068,57;480.0
CAMPACITE;2;M;PUR SANG;4;3;1;97180,00;24134,00;121314,00;24295,00;500.0
LATAKIA;4;F;PUR SANG;4;3;0;96280,00;0,00;96280,00;24070,00;470.0
LANZELOT GOLD;4;M;PUR SANG;7;2;3;95760,00;43092,00;138852,00;13680,00;455.0
HORIZON DORE;5;H;PUR SANG;5;1;3;95755,00;38630,00;134385,00;19151,00;515.0
HAJMAH;4;F;ARABE;3;2;1;93500,00;33075,00;126575,00;31166,67;525.0
TRIBALIST;6;M;PUR SANG;3;1;2;92680,00;0,00;92680,00;30893,33;525.0
CONTENTIOUS SOUL;4;H;PUR SANG;5;2;3;92530,00;41637,00;134167,00;18506,00;445.0
BETTER TOGETHER;3;F;PUR SANG;4;2;1;92330,00;0,00;92330,00;23082,50;505.0
RB KINGMAKER;6;M;ARABE;3;2;1;90000,00;0,00;90000,00;30000,00;575.0
MURAAD;5;M;ARABE;3;1;2;90000,00;15600,00;105600,00;30000,00;555.0
BIBBIENA;4;F;PUR SANG;7;4;3;89435,00;40245,00;129680,00;12776,43;445.0
NEW GROUND;3;M;PUR SANG;3;0;3;88830,00;0,00;88830,00;29610,00;505.0
TUMBLER;6;H;PUR SANG;6;2;4;87040,00;39167,00;126207,00;14506,67;475.0
TOPGEAR;6;M;PUR SANG;2;1;1;85868,00;35923,00;121791,00;42934,00;515.0
KAADI;3;F;PUR SANG;8;3;4;85650,00;0,00;85650,00;10706,25;485.0
RAFALE DESIGN;3;M;PUR SANG;3;2;1;84000,00;0,00;84000,00;28000,00;480.0
GRAND STARS;4;F;PUR SANG;4;0;4;83370,00;0,00;83370,00;20842,50;505.0
FIRST LOOK;4;H;PUR SANG;4;2;2;82900,00;37305,00;120205,00;20725,00;505.0
GSTAAD;2;M;PUR SANG;1;0;1;80010,00;0,00;80010,00;80010,00;515.0
NORTHERN CHAMPION;2;M;PUR SANG;1;1;0;80000,00;0,00;80000,00;80000,00;
ROSE GHAIYYATH;2;F;PUR SANG;1;1;0;80000,00;0,00;80000,00;80000,00;
IMPERIAL ME CEN;2;M;PUR SANG;6;2;3;79530,00;59647,00;139177,00;13255,00;455.0
CAMBRONNE;5;H;PUR SANG;8;3;4;78660,00;35397,00;114057,00;9832,50;465.0
STOLEN KISS;3;M;PUR SANG;8;3;4;77750,00;58312,00;136062,00;9718,75;470.0
SAINT ETIENNE;5;H;PUR SANG;6;2;0;76500,00;34425,00;110925,00;12750,00;460.0
POLYVEGA;3;F;PUR SANG;6;1;4;75500,00;56625,00;132125,00;12583,33;460.0
MONT DE SOLEIL;5;H;PUR SANG;4;2;1;71700,00;32265,00;103965,00;17925,00;500.0
CENTENARIO;6;H;PUR SANG;7;3;2;71270,00;32071,00;103341,00;10181,43;445.0
RELAXX;3;F;PUR SANG;6;1;4;70470,00;52852,00;123322,00;11745,00;470.0
AUDUBON PARK;3;F;PUR SANG;3;2;1;69600,00;52200,00;121800,00;23200,00;480.0
RIDARI;3;M;PUR SANG;5;1;2;69570,00;44369,00;113939,00;13914,00;505.0
MASTER CATH;3;M;PUR SANG;6;4;2;69030,00;51772,00;120802,00;11505,00;445.0
GREEN SPIRIT;2;F;PUR SANG;3;3;0;68600,00;0,00;68600,00;22866,67;465.0
JANUARY;3;F;PUR SANG;1;0;1;68580,00;0,00;68580,00;68580,00;520.0
INTERNAUTE;4;M;PUR SANG;4;1;2;68180,00;30681,00;98861,00;17045,00;495.0
MEDUSA MERGER;3;F;PUR SANG;6;2;2;67850,00;50887,00;118737,00;11308,33;450.0
QILIN QUEEN;3;F;PUR SANG;1;1;0;67830,00;0,00;67830,00;67830,00;445.0
GREEN SENSE;2;F;PUR SANG;1;1;0;67830,00;0,00;67830,00;67830,00;440.0
AIDAN'S PHONE;3;H;PUR SANG;6;3;2;67600,00;50700,00;118300,00;11266,67;450.0
JUNKO;6;H;PUR SANG;3;0;3;67370,00;24829,00;92199,00;22456,67;515.0
DIOPTASE;3;M;PUR SANG;7;3;4;66945,00;50208,00;117153,00;9563,57;460.0
GOLIATH;5;H;PUR SANG;3;1;2;66080,00;0,00;66080,00;22026,67;535.0
DUMONET;3;M;PUR SANG;5;2;3;65910,00;49432,00;115342,00;13182,00;485.0
AMERICAN GLORY;4;F;PUR SANG;8;2;4;65680,00;29556,00;95236,00;8210,00;415.0
FRODON DU PECOS AA;3;M;ANGLO-ARABE;4;4;0;65650,00;0,00;65650,00;16412,50;
DREAMLINER;3;M;PUR SANG;5;2;3;65500,00;49125,00;114625,00;13100,00;470.0
RABBIT'S FOOT;3;F;PUR SANG;5;2;3;65475,00;49106,00;114581,00;13095,00;460.0
APOGEO;3;M;PUR SANG;7;2;4;65182,00;48886,00;114068,00;9311,71;405.0
LAITH;3;M;PUR SANG;8;3;3;64642,00;48481,00;113123,00;8080,25;420.0
INDALIMOS;3;F;PUR SANG;3;1;2;64600,00;48450,00;113050,00;21533,33;475.0
MIDAK;3;H;PUR SANG;3;3;0;64500,00;48375,00;112875,00;21500,00;485.0
AZIMPOUR;3;M;PUR SANG;3;0;3;64400,00;0,00;64400,00;21466,67;510.0
ALPAGE;6;H;PUR SANG;9;4;3;64320,00;28944,00;93264,00;7146,67;385.0
BULLACE;7;H;PUR SANG;6;2;1;64180,00;0,00;64180,00;10696,67;460.0
NO LUNCH;4;M;PUR SANG;4;3;0;64000,00;28800,00;92800,00;16000,00;490.0
FORCHESTER;6;H;PUR SANG;8;1;6;63592,00;28616,00;92208,00;7949,00;405.0
AFOGADO;3;M;PUR SANG;6;2;3;62990,00;47242,00;110232,00;10498,33;460.0
QUDDWAH;5;M;PUR SANG;2;2;0;62600,00;0,00;62600,00;31300,00;515.0
ZABIARI;4;M;PUR SANG;4;3;0;62500,00;28125,00;90625,00;15625,00;505.0
KING GOLD;8;M;PUR SANG;3;1;1;62500,00;28125,00;90625,00;20833,33;495.0
LOUIS DEUX;3;M;PUR SANG;21;4;15;62136,00;46598,00;108734,00;2958,86;340.0
SURABAD;3;M;PUR SANG;5;2;2;61700,00;46275,00;107975,00;12340,00;475.0
BAILEYS BACHELOR;4;H;PUR SANG;10;3;6;61540,00;27692,00;89232,00;6154,00;365.0
DILAWAR;8;H;PUR SANG;4;2;1;61200,00;27540,00;88740,00;15300,00;490.0
KOVEL;4;M;PUR SANG;7;2;4;61130,00;0,00;61130,00;8732,86;450.0
SIMCA MILLE;6;M;PUR SANG;4;3;1;60440,00;27198,00;87638,00;15110,00;505.0
LAFFAN;3;M;ARABE;3;3;0;60000,00;26250,00;86250,00;20000,00;
TITO MO CEN;3;M;PUR SANG;5;2;3;59980,00;44985,00;104965,00;11996,00;470.0
STREET SHOW;2;M;PUR SANG;4;0;4;59836,00;7827,00;67663,00;14959,00;400.0
GOYA SENORA;9;H;PUR SANG;4;1;3;59462,00;26757,00;86219,00;14865,50;495.0
RAYIF;2;M;PUR SANG;2;2;0;59450,00;0,00;59450,00;29725,00;
LE COMBAT CONTINUE;4;F;PUR SANG;6;0;5;58960,00;26532,00;85492,00;9826,67;450.0
KIAMBA;3;F;PUR SANG;5;1;3;58750,00;0,00;58750,00;11750,00;440.0
VERTBOIS;4;H;PUR SANG;5;1;2;58600,00;26370,00;84970,00;11720,00;495.0
POSCHIAVO;3;H;PUR SANG;6;2;4;58350,00;43762,00;102112,00;9725,00;440.0
REGALIEN;6;M;PUR SANG;14;3;9;58168,00;26174,00;84342,00;4154,86;335.0
BATAL YOUMZAIN;3;M;PUR SANG;7;2;4;57905,00;43428,00;101333,00;8272,14;450.0
CLEA CHOPE;2;F;PUR SANG;6;3;2;57510,00;43131,00;100641,00;9585,00;425.0
FLAMING STONE;3;F;PUR SANG;3;1;2;57150,00;0,00;57150,00;19050,00;485.0
SARDINIAN WARRIOR;4;M;PUR SANG;1;0;1;57150,00;0,00;57150,00;57150,00;520.0
DOCKLANDS;5;M;PUR SANG;1;0;1;57100,00;0,00;57100,00;57100,00;535.0
FOCUS;2;M;PUR SANG;3;1;2;57000,00;23250,00;80250,00;19000,00;470.0
MOOJEED;2;M;PUR SANG;4;1;3;56865,00;42648,00;99513,00;14216,25;470.0
IRESINE;8;H;PUR SANG;3;1;2;56840,00;22837,00;79677,00;18946,67;505.0
CACOFONIX;3;M;PUR SANG;4;2;2;56190,00;35850,00;92040,00;14047,50;500.0
FRANCE ANGLO'JAC AA;4;H;ANGLO-ARABE DE COMPLEMENT;5;3;2;56150,00;0,00;56150,00;11230,00;
PARACHUTISTE;3;M;PUR SANG;5;3;0;56150,00;42112,00;98262,00;11230,00;480.0
TAJLINA;3;F;PUR SANG;2;1;1;56000,00;42000,00;98000,00;28000,00;455.0
NATIONAL SERVICE;8;H;PUR SANG;11;1;6;55840,00;25127,00;80967,00;5076,36;450.0
MOTION;5;H;PUR SANG;9;3;3;55510,00;24979,00;80489,00;6167,78;400.0
UTHRED;3;H;PUR SANG;4;3;1;55400,00;41549,00;96949,00;13850,00;510.0
ZIGGY STAR;3;M;PUR SANG;6;2;3;55400,00;41549,00;96949,00;9233,33;395.0
TOYOTOMI;4;M;PUR SANG;6;1;3;55320,00;24894,00;80214,00;9220,00;465.0
EL PEQUENIO;3;H;PUR SANG;8;1;5;55242,00;41431,00;96673,00;6905,25;395.0
PRESA DIRETTA;6;F;PUR SANG;7;3;1;55180,00;24831,00;80011,00;7882,86;400.0
TILILA;4;F;PUR SANG;5;2;1;55120,00;24804,00;79924,00;11024,00;410.0
AL UQDA;3;F;PUR SANG;4;3;0;54150,00;40612,00;94762,00;13537,50;460.0
GOLDEN CALL;6;H;PUR SANG;4;2;2;54120,00;24354,00;78474,00;13530,00;480.0
SWEET AS;5;H;PUR SANG;15;5;3;53652,00;24142,00;77794,00;3576,80;315.0
FLAMME ROUGE;3;F;PUR SANG;3;3;0;53600,00;40200,00;93800,00;17866,67;405.0
NITOI;3;M;PUR SANG;4;1;2;53560,00;0,00;53560,00;13390,00;495.0
CHAUMIERE DE PRE;3;H;PUR SANG;7;2;3;53520,00;40140,00;93660,00;7645,71;430.0
EPONINE;3;F;PUR SANG;5;1;3;53350,00;0,00;53350,00;10670,00;460.0
ALMIRO;5;H;PUR SANG;7;1;2;52920,00;23814,00;76734,00;7560,00;405.0
BENAMIRA;3;F;PUR SANG;6;2;4;52845,00;39633,00;92478,00;8807,50;430.0
GO MAN;2;M;PUR SANG;5;1;4;52810,00;12307,00;65117,00;10562,00;400.0
ZIA AGNESE;3;F;PUR SANG;5;1;2;52730,00;39547,00;92277,00;10546,00;470.0
DSCHINGIS SPIRIT;3;H;PUR SANG;5;3;1;52700,00;39525,00;92225,00;10540,00;415.0
SAHLAN;3;M;PUR SANG;4;1;1;52600,00;39450,00;92050,00;13150,00;485.0
CHARLESQUINT;8;H;PUR SANG;14;3;6;52422,00;23588,00;76010,00;3744,43;330.0
DSCHINGIS RANGER;4;M;PUR SANG;10;3;5;52360,00;23561,00;75921,00;5236,00;410.0
NO LIMIT DREAM;5;H;PUR SANG;7;2;4;52180,00;23480,00;75660,00;7454,29;400.0
MORSAN;9;H;PUR SANG;9;2;3;52170,00;23476,00;75646,00;5796,67;355.0
CREW DRAGON;8;H;PUR SANG;9;4;5;52098,00;23443,00;75541,00;5788,67;430.0
ILDA ROSA;3;F;PUR SANG;6;2;4;51765,00;0,00;51765,00;8627,50;460.0
ZINGARO;3;M;PUR SANG;6;1;4;51670,00;38752,00;90422,00;8611,67;460.0
KIMI REY;2;F;PUR SANG;4;2;1;51450,00;0,00;51450,00;12862,50;460.0
SAPRISTI;5;M;PUR SANG;5;1;4;51096,00;22992,00;74088,00;10219,20;360.0
CHIRICCO;4;H;PUR SANG;8;3;4;50996,00;22948,00;73944,00;6374,50;385.0
MELBORA;5;F;PUR SANG;9;2;6;50830,00;22872,00;73702,00;5647,78;365.0
HORTENSIA BASC;5;F;PUR SANG;7;3;2;50690,00;22810,00;73500,00;7241,43;380.0
AFJAN;2;M;PUR SANG;3;1;2;50620,00;37965,00;88585,00;16873,33;475.0
ROSA SALVAJE;3;F;PUR SANG;5;2;0;50600,00;37950,00;88550,00;10120,00;505.0
CROQUIS;3;M;PUR SANG;4;2;2;50350,00;0,00;50350,00;12587,50;465.0
VALASARA;2;F;PUR SANG;2;2;0;50300,00;37724,00;88024,00;25150,00;
MARHABA YA SANAFI;5;M;PUR SANG;5;0;4;50200,00;0,00;50200,00;10040,00;490.0
NIGHTTIME;2;M;PUR SANG;3;2;1;50150,00;37612,00;87762,00;16716,67;495.0
SUMMER SAIL;3;M;PUR SANG;5;2;3;50010,00;0,00;50010,00;10002,00;420.0
CHICA DE CIUDAD;4;F;PUR SANG;5;2;2;49925,00;0,00;49925,00;9985,00;390.0
MERANO;3;M;PUR SANG;7;2;5;49800,00;0,00;49800,00;7114,29;440.0
GAMESTARS;4;H;PUR SANG;5;1;2;49520,00;22283,00;71803,00;9904,00;470.0
PASSINGSHOT;3;H;PUR SANG;9;3;4;49500,00;37125,00;86625,00;5500,00;415.0
POMPEO DREAM;3;M;PUR SANG;1;0;1;49400,00;0,00;49400,00;49400,00;
HAPPY BIRTHDAY AA;3;F;*ANGLO-ARABE COMPLEMENT*;5;3;2;49382,00;0,00;49382,00;9876,40;
BOOGIE;7;H;PUR SANG;11;4;5;49190,00;22135,00;71325,00;4471,82;390.0
TADEJ;2;M;PUR SANG;2;1;1;49095,00;0,00;49095,00;24547,50;460.0
GLANWORTH;3;H;PUR SANG;8;3;2;49015,00;0,00;49015,00;6126,88;430.0
PROFUMO DI IENA;3;F;PUR SANG;5;3;1;49000,00;36750,00;85750,00;9800,00;425.0
NEPALAIS;7;H;PUR SANG;10;2;4;48756,00;21940,00;70696,00;4875,60;390.0
GRAFT;2;M;PUR SANG;5;1;4;48750,00;0,00;48750,00;9750,00;460.0
ARTURO;6;H;PUR SANG;10;2;7;48541,00;21842,00;70383,00;4854,10;335.0
RIMBAULT;6;H;PUR SANG;10;3;6;48191,00;0,00;48191,00;4819,10;375.0
BRITANIA;3;F;PUR SANG;7;2;5;48182,00;36135,00;84317,00;6883,14;370.0
GANASS;4;M;PUR SANG;7;1;3;48180,00;21680,00;69860,00;6882,86;405.0
PENTAOUR;6;H;PUR SANG;6;2;3;48100,00;21645,00;69745,00;8016,67;420.0
ALEM;3;H;PUR SANG;5;3;2;47430,00;35572,00;83002,00;9486,00;435.0
ALCANTOR;4;M;PUR SANG;2;1;1;47320,00;21294,00;68614,00;23660,00;505.0
WEEMAGATEE;3;F;PUR SANG;6;3;3;46982,00;35236,00;82218,00;7830,33;350.0
THREE PEARLS;3;F;PUR SANG;6;1;5;46930,00;35197,00;82127,00;7821,67;425.0
SIMPLY LOVELY;7;H;PUR SANG;7;2;4;46781,00;21050,00;67831,00;6683,00;365.0
GUINESS STAR;5;M;PUR SANG;5;2;2;46685,00;21008,00;67693,00;9337,00;390.0
HOTHEADED;3;M;PUR SANG;3;2;1;46650,00;0,00;46650,00;15550,00;480.0
TIMES WARRIOR;4;M;PUR SANG;5;1;2;46560,00;0,00;46560,00;9312,00;405.0
CASSIUS;5;M;PUR SANG;5;1;3;46050,00;20722,00;66772,00;9210,00;465.0
THE LION IN WINTER;3;M;PUR SANG;2;0;1;45720,00;0,00;45720,00;22860,00;520.0
SAFIA;3;F;PUR SANG;4;2;1;45500,00;34125,00;79625,00;11375,00;460.0
FERRARI FEVER;4;H;PUR SANG;7;1;5;45460,00;20457,00;65917,00;6494,29;460.0
SIAM PARAGON;6;H;PUR SANG;4;1;2;45400,00;20430,00;65830,00;11350,00;480.0
EAGLEHAWK;6;M;PUR SANG;11;3;5;45331,00;20398,00;65729,00;4121,00;325.0
COLGAN SENORA;4;H;PUR SANG;5;2;1;45122,00;20304,00;65426,00;9024,40;415.0
FELIX AUX ORMES;3;M;PUR SANG;7;3;2;44980,00;33735,00;78715,00;6425,71;435.0
NOTA BENE;3;F;PUR SANG;20;3;9;44920,00;33689,00;78609,00;2246,00;320.0
WHAT ELSE CHOP;5;H;PUR SANG;12;4;6;44673,00;20102,00;64775,00;3722,75;290.0
MIKEY;3;M;PUR SANG;11;4;3;44430,00;33321,00;77751,00;4039,09;380.0
HARRY DE LA BRUNIE AA;8;M;*ANGLO-ARABE*;3;2;1;44380,00;0,00;44380,00;14793,33;
ALMAROMY;3;F;PUR SANG;8;3;5;44310,00;33232,00;77542,00;5538,75;400.0
PYRAMIDE;3;F;PUR SANG;6;2;4;44220,00;33165,00;77385,00;7370,00;410.0
JEUDIXX;2;F;PUR SANG;3;1;2;44215,00;33161,00;77376,00;14738,33;420.0
PAIX DES DAMES;3;F;PUR SANG;6;3;1;44200,00;33150,00;77350,00;7366,67;420.0
PRADO;3;M;PUR SANG;9;2;7;44150,00;33112,00;77262,00;4905,56;385.0
CLAVUS;4;M;PUR SANG;7;1;4;43840,00;19728,00;63568,00;6262,86;455.0
GOOD SPEED;3;M;PUR SANG;9;0;7;43834,00;32875,00;76709,00;4870,44;380.0
THUNDERSPEED;8;M;PUR SANG;8;0;7;43742,00;19681,00;63423,00;5467,75;365.0
TRUE TEDESCO;6;H;PUR SANG;8;1;5;43727,00;0,00;43727,00;5465,88;365.0
TEN HORNS;4;M;PUR SANG;9;1;8;43550,00;19597,00;63147,00;4838,89;465.0
DYONISOS;3;M;PUR SANG;4;3;1;43250,00;32437,00;75687,00;10812,50;430.0
MAIA STAR;4;F;PUR SANG;6;1;4;43176,00;19428,00;62604,00;7196,00;400.0
GINALYAH;3;F;PUR SANG;6;1;5;43160,00;32370,00;75530,00;7193,33;445.0
YOUNG AND PROUD;3;M;PUR SANG;12;2;6;43016,00;32262,00;75278,00;3584,67;350.0
LEADER D'ALLIER;4;H;CHEVAL AUTRE QUE PUR SANG;6;5;0;43000,00;0,00;43000,00;7166,67;
MONEER;4;M;ARABE;3;2;1;43000,00;16650,00;59650,00;14333,33;510.0
MINO GALESTE;3;M;PUR SANG;10;2;5;42898,00;32173,00;75071,00;4289,80;360.0
NOCTURNE BLOU;2;F;PUR SANG;13;4;9;42885,00;32163,00;75048,00;3298,85;370.0
MELLOW YELLOW;3;M;PUR SANG;9;2;5;42824,00;32117,00;74941,00;4758,22;380.0
ROYALWOOD;5;F;PUR SANG;12;1;8;42770,00;19245,00;62015,00;3564,17;360.0
WAKABURN;6;H;PUR SANG;6;2;2;42750,00;19237,00;61987,00;7125,00;445.0
WIND OF CHANGE;7;H;PUR SANG;13;2;6;42710,00;19219,00;61929,00;3285,38;310.0
ACTO;3;H;PUR SANG;7;1;4;42682,00;32011,00;74693,00;6097,43;395.0
GREEN CAPE;3;H;PUR SANG;5;1;3;42430,00;31822,00;74252,00;8486,00;445.0
RIYABOVKA;4;F;PUR SANG;5;2;1;42390,00;19075,00;61465,00;8478,00;420.0
AGIOTA;2;M;PUR SANG;5;2;3;42360,00;31769,00;74129,00;8472,00;440.0
LA MAZZI GOGO;4;F;PUR SANG;9;4;3;42150,00;18967,00;61117,00;4683,33;305.0
D'ORES ET DEJA;3;F;PUR SANG;2;1;1;42100,00;19563,00;61663,00;21050,00;475.0
GRAND SON OF CALYX;4;H;PUR SANG;8;2;1;42000,00;0,00;42000,00;5250,00;400.0
RECONSTRUCTED;4;H;PUR SANG;8;4;2;41920,00;0,00;41920,00;5240,00;375.0
BRISE NOIR;3;H;PUR SANG;2;0;2;41900,00;4125,00;46025,00;20950,00;355.0
BEL ET BIEN;5;H;PUR SANG;3;1;2;41800,00;18810,00;60610,00;13933,33;460.0
CLEOD'OR;8;H;PUR SANG;12;3;8;41770,00;18795,00;60565,00;3480,83;385.0
GAME RUN;6;H;PUR SANG;5;1;3;41640,00;18737,00;60377,00;8328,00;445.0
ZENITA;6;F;PUR SANG;7;4;2;41580,00;18711,00;60291,00;5940,00;355.0
PIERRE LE GRAND;6;H;PUR SANG;13;3;7;41577,00;18708,00;60285,00;3198,23;295.0
THE GOOD MAN;8;M;PUR SANG;4;1;3;41550,00;18697,00;60247,00;10387,50;455.0
VCTE DE JODELET;4;M;PUR SANG;5;2;0;41500,00;18675,00;60175,00;8300,00;390.0
THINTHREAD;3;M;PUR SANG;4;2;2;41492,00;0,00;41492,00;10373,00;400.0
DALAKIR;3;M;PUR SANG;5;1;4;41382,00;31036,00;72418,00;8276,40;380.0
DAMASK BLADE;8;H;PUR SANG;11;2;6;41024,00;18459,00;59483,00;3729,45;360.0
KABOOM;4;F;PUR SANG;11;2;6;40677,00;0,00;40677,00;3697,91;340.0
BEVAN;6;H;PUR SANG;5;1;3;40600,00;18270,00;58870,00;8120,00;470.0
BANDIAGARA;2;F;PUR SANG;4;1;3;40560,00;15795,00;56355,00;10140,00;440.0
ZULU WARRIOR;5;H;PUR SANG;6;2;2;40350,00;18156,00;58506,00;6725,00;425.0
DSCHINGIS ZANDEE;3;F;PUR SANG;7;3;1;40300,00;30225,00;70525,00;5757,14;350.0
RASHABAR;3;M;PUR SANG;1;0;1;40260,00;30195,00;70455,00;40260,00;510.0
LORENZO DE MEDICI;6;H;PUR SANG;10;1;8;40227,00;18100,00;58327,00;4022,70;335.0
BURLINGTON ARCADE;4;F;PUR SANG;8;3;4;40010,00;18004,00;58014,00;5001,25;355.0
WISE APPROACH;2;M;PUR SANG;1;0;1;40005,00;0,00;40005,00;40005,00;495.0
MANEKI;3;M;PUR SANG;4;3;1;40000,00;30000,00;70000,00;10000,00;430.0
MGHEERA;5;F;PUR SANG;1;1;0;40000,00;18000,00;58000,00;40000,00;
MONTEILLE;4;F;PUR SANG;2;1;0;40000,00;18000,00;58000,00;20000,00;465.0
ARIZONA BLAZE;3;M;PUR SANG;1;1;0;40000,00;0,00;40000,00;40000,00;500.0
EXACTLY;3;F;PUR SANG;2;0;2;39985,00;0,00;39985,00;19992,50;500.0
STEP MORNING;7;H;PUR SANG;6;2;2;39748,00;17886,00;57634,00;6624,67;375.0
I'M A BELIEVER;5;H;PUR SANG;10;2;4;39710,00;17869,00;57579,00;3971,00;360.0
CASAPUEBLO;4;H;PUR SANG;5;0;5;39640,00;17838,00;57478,00;7928,00;495.0
CHARMING CAT;2;M;PUR SANG;9;3;6;39588,00;29690,00;69278,00;4398,67;365.0
WALLY;8;H;PUR SANG;5;1;4;39520,00;17784,00;57304,00;7904,00;435.0
JASNA'S SECRET;4;F;PUR SANG;3;1;2;39500,00;17775,00;57275,00;13166,67;460.0
ROYAL SAXO;5;H;PUR SANG;6;2;4;39395,00;17727,00;57122,00;6565,83;385.0
ROMANELLO;7;H;PUR SANG;11;2;9;39377,00;16996,00;56373,00;3579,73;325.0
IVORY SPRING;6;H;PUR SANG;8;3;2;39350,00;17707,00;57057,00;4918,75;405.0
GALLIUS;3;H;PUR SANG;13;3;7;39252,00;29437,00;68689,00;3019,38;355.0
TORTISAMBERT;4;H;PUR SANG;6;1;5;39238,00;17657,00;56895,00;6539,67;405.0
COOLMEEN ROYAL;6;H;PUR SANG;11;4;4;39157,00;17620,00;56777,00;3559,73;325.0
NOVA HOPE;4;F;PUR SANG;10;3;3;39112,00;17600,00;56712,00;3911,20;340.0
OSHIA;2;F;PUR SANG;7;2;5;38982,00;29235,00;68217,00;5568,86;400.0
MASAIYA;4;F;PUR SANG;6;1;5;38822,00;0,00;38822,00;6470,33;375.0
